responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
6948	23/10/2015	23/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Associate professor/Lecturer	Medicine	Very likely	Likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Very likely	Very likely	Strongly disagree	Strongly agree	Monthly	Quarterly	Monthly	Yes	Yes	11-25 members	45 - 54
6949	23/10/2015	23/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Earth and Environmental Science	Likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Quarterly	Quarterly	Not applicable	No	11-25 members	25 - 34
6952	23/10/2015	24/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	Yes	Associate professor/Lecturer	Other	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Weekly	Monthly	Weekly	No	Yes	1-5 members	45 - 54
6956	23/10/2015	23/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	1	0	I don't know	I am unsure	80%	I am unsure	Yes	I can't remember	No	No	No	No	Other (please specify)	Biology	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Weekly	Never	Never	Not applicable	Not applicable	None	65 or over
6959	23/10/2015	23/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	90%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly disagree	Disagree	Weekly	Weekly	Monthly	Not applicable	Yes	11-25 members	18 - 24
6962	23/10/2015	23/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is no crisis of reproducibility	I am unsure	90%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Professor	Other	Not very likely	Likely	Very likely	Very likely	Likely	Very likely	Very likely	Not at all likely	Very likely	Very likely	Disagree	Disagree	Never	Never	Never	No	No	1-5 members	55 - 64
6963	23/10/2015	23/10/2015	Yes	0	0	0	1	Fairly familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	I can't remember	No	I can't remember	No	No	Other (please specify)	Other	Not very likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Quarterly	Never	Never	No	No	1-5 members	35 - 44
6965	23/10/2015	23/10/2015	Yes	1	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	Yes	Yes	No	Yes	Principal Investigator	Biology	Likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Not very likely	Agree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	No	No	More than 50 members	45 - 54
6970	23/10/2015	23/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...worse than for other scientific fields on average."""	No	Yes	No	Yes	No	Yes	Professor	Other	Very likely	Not very likely	Very likely	Very likely	Likely	Not at all likely	Very likely	Not very likely	Very likely	Likely	Strongly agree	Strongly agree	Daily	Daily	Daily	No	No	26-50 members	45 - 54
6971	23/10/2015	23/10/2015	Yes	1	0	0	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Too much	20%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Engineering	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Monthly	Monthly	No	Not applicable	6-10 members	25 - 34
6973	23/10/2015	23/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Research Scientist	Biology	Very likely	Very likely	Not very likely	Likely	Not very likely	Likely	Very likely	Likely	Likely	Not very likely	Strongly agree	Strongly agree	Weekly	Weekly	Monthly	No	No	6-10 members	35 - 44
6976	23/10/2015	23/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is no crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	Yes	No	Research Scientist	Earth and Environmental Science	Not very likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Disagree	Quarterly	Quarterly	Quarterly	No	No	1-5 members	55 - 64
6978	23/10/2015	23/10/2015	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not very likely	Likely	Not very likely	Not very likely	Very likely	Very likely	Not very likely	Very likely	Agree	Agree	Daily	Monthly	Daily	No	No	1-5 members	25 - 34
6979	23/10/2015	24/10/2015	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Laboratory Director/Head	Materials Science	Likely	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Agree	Neither agree nor disagree	Monthly	Quarterly	Daily	Yes	Yes	More than 50 members	65 or over
6985	24/10/2015	24/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	No	Principal Investigator	Materials Science	Not very likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Disagree	Disagree	Daily	Weekly	Weekly	No	No	1-5 members	65 or over
6986	24/10/2015	24/10/2015	Yes	1	0	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Engineering	Likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Daily	Quarterly	Quarterly	No	No	1-5 members	25 - 34
6988	24/10/2015	24/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	I am unsure	80%	"...about the same as for other scientific fields on average"""	I can't remember	No	I can't remember	I can't remember	No	I can't remember	Research Scientist	Earth and Environmental Science	Likely	Likely	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Likely	Very likely	Disagree	Strongly disagree	Monthly	Weekly	Never	No	Yes	6-10 members	55 - 64
6992	24/10/2015	24/10/2015	Yes	0	1	0	0	Not very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	No	I can't remember	No	No	No	No	Associate professor/Lecturer	Medicine	Very likely	Likely	Very likely	Very likely	Very likely	Likely	I don't know	Likely	Very likely	Likely	Agree	Strongly agree	Quarterly	Quarterly	Weekly	No	No	1-5 members	45 - 54
7000	24/10/2015	24/10/2015	Yes	0	0	1	0	Fairly familiar	0	1	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	Associate professor/Lecturer	Other	Likely	Likely	Very likely	Very likely	Likely	Very likely	Not very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Weekly	Monthly	Monthly	Not applicable	Not applicable	1-5 members	65 or over
7012	24/10/2015	24/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	No	Yes	Yes	Yes	No	Associate professor/Lecturer	Medicine	Very likely	Very likely	Likely	Likely	Likely	Very likely	Likely	Not very likely	Likely	Likely	Agree	Disagree	Quarterly	Quarterly	Never	No	No	26-50 members	35 - 44
7026	24/10/2015	24/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Associate professor/Lecturer	Other	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Not very likely	Very likely	Strongly agree	Strongly agree	Weekly	Weekly	Monthly	No	No	None	25 - 34
7028	24/10/2015	24/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	No	No	No	No	Other (please specify)	Materials Science	Very likely	Likely	Not very likely	I don't know	Very likely	Likely	Very likely	Not very likely	I don't know	I don't know	Agree	Strongly agree	Weekly	Weekly	Daily	No	No	6-10 members	18 - 24
7037	24/10/2015	24/10/2015	Yes	0	0	1	0	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	I am unsure	No	No	Yes	No	No	No	Research Scientist	Biology	Very likely	Likely	I don't know	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Disagree	Disagree	Never	Never	Never	No	Yes	None	55 - 64
7040	24/10/2015	24/10/2015	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	I can't remember	I can't remember	I can't remember	Consultant/Fellow/Attending Physician	Materials Science	Likely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Daily	Daily	Daily	No	Yes	1-5 members	65 or over
7069	25/10/2015	25/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Chemistry	Very likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Likely	Not very likely	Neither agree nor disagree	Agree	Monthly	Quarterly	Quarterly	No	Yes	11-25 members	25 - 34
7087	25/10/2015	25/10/2015	Yes	0	0	0	1	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	30%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Student	Earth and Environmental Science	Very likely	Very likely	Likely	Very likely	Likely	Likely	I don't know	I don't know	Likely	Likely	Disagree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	No	No	1-5 members	25 - 34
7102	25/10/2015	25/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	50%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Associate professor/Lecturer	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Daily	Daily	No	No	1-5 members	55 - 64
7103	25/10/2015	25/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Student	Materials Science	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Daily	No	No	26-50 members	18 - 24
7107	25/10/2015	25/10/2015	Yes	0	0	0	1	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Student	Biology	Very likely	Very likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Very likely	Likely	Agree	Agree	Weekly	Monthly	Weekly	No	No	6-10 members	18 - 24
7109	25/10/2015	25/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	PhD Student	Other	Very likely	Very likely	Likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Quarterly	No	Yes	6-10 members	25 - 34
7129	25/10/2015	25/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Professor	Other	Very likely	Likely	Not very likely	Likely	Likely	Likely	Very likely	Not very likely	Not very likely	Not very likely	Neither agree nor disagree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	Not applicable	Yes	6-10 members	55 - 64
7132	25/10/2015	25/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	I can't remember	I can't remember	PhD Student	Materials Science	Likely	Very likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Agree	Strongly agree	Daily	Weekly	Weekly	Yes	Yes	11-25 members	18 - 24
7137	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Research Scientist	Biology	Likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Not very likely	Likely	Likely	Disagree	Disagree	Daily	Weekly	Monthly	No	No	1-5 members	45 - 54
7164	26/10/2015	26/10/2015	Yes	1	0	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Daily	Monthly	Quarterly	No	Yes	6-10 members	35 - 44
7169	26/10/2015	26/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	Yes	No	No	No	No	Principal Investigator	Biology	Not very likely	Likely	Not very likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Disagree	Disagree	Monthly	Quarterly	Quarterly	No	Yes	1-5 members	25 - 34
7177	26/10/2015	26/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is no crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Research Scientist	Other	Not very likely	Not very likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Not very likely	Likely	Not very likely	Disagree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	No	No	6-10 members	45 - 54
7179	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	Yes	Yes	I can't remember	No	No	No	Senior Scientist	Medicine	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Likely	Agree	Agree	Daily	Weekly	Monthly	Yes	Yes	1-5 members	35 - 44
7201	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	I can't remember	I can't remember	Senior Scientist	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Agree	Daily	Daily	Weekly	No	No	1-5 members	45 - 54
7202	26/10/2015	26/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Student	Biology	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Monthly	Weekly	Weekly	No	No	1-5 members	18 - 24
7203	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Technician/Research Assistant	Biology	I don't know	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Likely	Agree	Neither agree nor disagree	Daily	Weekly	Monthly	Not applicable	Not applicable	1-5 members	35 - 44
7210	26/10/2015	26/10/2015	Yes	1	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Professor	Biology	Not very likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Disagree	Disagree	Weekly	Monthly	Quarterly	No	No	11-25 members	35 - 44
7216	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Materials Science	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Neither agree nor disagree	Strongly agree	Monthly	Monthly	Monthly	No	Not applicable	6-10 members	35 - 44
7217	26/10/2015	26/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	0	0	0	I don't know	I am unsure	80%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Very likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Disagree	Agree	Weekly	Monthly	Monthly	Yes	Not applicable	1-5 members	25 - 34
7234	26/10/2015	26/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Student	Other	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Likely	Agree	Agree	Daily	Monthly	Weekly	Yes	Yes	None	55 - 64
7248	27/10/2015	27/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	PhD Student	Medicine	Likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Not very likely	Likely	Likely	Agree	Agree	Monthly	Monthly	Weekly	Yes	Yes	6-10 members	25 - 34
7266	27/10/2015	27/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	I don't know	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Earth and Environmental Science	Very likely	Likely	Not very likely	Likely	Very likely	Likely	Likely	Likely	Not very likely	I don't know	Disagree	Disagree	Weekly	Never	Monthly	Yes	Not applicable	1-5 members	25 - 34
7271	27/10/2015	27/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Associate professor/Lecturer	Chemistry	Likely	Not very likely	Not very likely	Not very likely	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Neither agree nor disagree	Agree	Monthly	Quarterly	Quarterly	No	No	1-5 members	45 - 54
7277	27/10/2015	27/10/2015	Yes	0	1	0	0	Somewhat familiar	0	0	0	0	0	1	I don't know	Not enough	70%	I am unsure	No	Yes	No	No	No	No	Research Scientist	Biology	Likely	Likely	Very likely	Very likely	Very likely	Likely	Not very likely	Likely	Very likely	Likely	Strongly disagree	Neither agree nor disagree	Daily	Never	Daily	Not applicable	No	1-5 members	45 - 54
7281	27/10/2015	27/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	Yes	No	No	Yes	Research Scientist	Chemistry	Very likely	Not very likely	Not very likely	Not very likely	Not very likely	Likely	Very likely	Not very likely	Not very likely	Likely	Agree	Agree	Daily	Weekly	Weekly	Not applicable	Not applicable	1-5 members	35 - 44
7297	27/10/2015	27/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	0%	I am unsure	No	Yes	No	Yes	No	No	Staff Scientist	Biology	Very likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Not very likely	Likely	Agree	Agree	Weekly	Monthly	Quarterly	No	No	26-50 members	35 - 44
7299	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	Yes	No	Yes	Research Scientist	Chemistry	Very likely	Likely	Likely	Likely	Very likely	Likely	Not very likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Daily	No	Yes	1-5 members	35 - 44
7300	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Medicine	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Not very likely	Likely	Very likely	Likely	Strongly agree	Strongly agree	Quarterly	Quarterly	Quarterly	No	No	6-10 members	25 - 34
7301	27/10/2015	27/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	1	0	I don't know	I am unsure	90%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	Not very likely	Likely	Very likely	Likely	Likely	Likely	Likely	Not very likely	Strongly disagree	Strongly disagree	Monthly	Weekly	Monthly	Not applicable	Not applicable	11-25 members	25 - 34
7303	27/10/2015	27/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Very likely	Likely	Not very likely	Likely	Likely	Not very likely	Likely	Not very likely	Likely	Likely	Agree	Agree	Monthly	Quarterly	Weekly	No	Yes	1-5 members	18 - 24
7305	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	I am unsure	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Research Scientist	Biology	Very likely	Very likely	Not very likely	Not very likely	Likely	Very likely	Very likely	Likely	Not very likely	Not very likely	Agree	Disagree	Weekly	Weekly	Quarterly	Not applicable	Yes	1-5 members	35 - 44
7307	27/10/2015	27/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	I don't know	I am unsure	70%	I am unsure	No	No	No	No	No	No	PhD Student	Earth and Environmental Science	Not at all likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Disagree	Neither agree nor disagree	Monthly	Never	Monthly	No	Not applicable	11-25 members	25 - 34
7311	27/10/2015	27/10/2015	Yes	0	0	1	0	Very familiar	1	0	0	0	0	0	There is no crisis of reproducibility	Too much	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Student	Earth and Environmental Science	Not very likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Agree	Monthly	Monthly	Monthly	No	No	1-5 members	25 - 34
7323	27/10/2015	27/10/2015	Yes	0	0	1	0	Not very familiar	0	0	0	1	0	0	I don't know	I am unsure	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Engineering	I don't know	Not very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Agree	Agree	Daily	Weekly	Weekly	Not applicable	Not applicable	6-10 members	25 - 34
7328	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	Associate professor/Lecturer	Chemistry	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Disagree	Agree	Daily	Monthly	Quarterly	No	No	6-10 members	55 - 64
7335	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Associate professor/Lecturer	Other	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	No	No	1-5 members	35 - 44
7336	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Chemistry	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	Likely	Agree	Strongly agree	Daily	Weekly	Weekly	No	No	6-10 members	25 - 34
7337	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	Yes	Principal Investigator	Other	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Quarterly	Yes	Yes	1-5 members	55 - 64
7340	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	1	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Not very likely	Not very likely	Strongly agree	Strongly agree	Monthly	Monthly	Monthly	No	Yes	6-10 members	25 - 34
7341	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	50%	I am unsure	Yes	No	Yes	No	No	No	Research Scientist	Chemistry	Likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Not at all likely	Very likely	Very likely	Disagree	Neither agree nor disagree	Quarterly	Never	Quarterly	Not applicable	Not applicable	11-25 members	35 - 44
7346	27/10/2015	27/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Post-doctoral Fellow	Other	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Monthly	Not applicable	No	6-10 members	25 - 34
